Art.Nr.;Bezeichnung;Sparte;M1 hoch;M1 runter;M2 hoch;M2 runter;M3 hoch;M3 runter;M4 hoch;M4 runter;M5 hoch;M5 runter;Reset hoch;Reset runter;Memoposition 1;Memoposition 2;Memoposition 3;Memoposition 4;Memoposition  speichern;Synchro;Steckdose;UBB;Kindersicherung;Taschenlampe;Massageprogramm 1;Massageprogramm 2;Massageprogramm 3;Massage aus;Anzeige Massageintensit„t
84564;RF-ECO+/09/AL/BK/L;seating;ja;ja;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
84582;RF-ECO+/05/AL/BK/L;seating;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
84931;RF-TOPLINE/07/AL/BK/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
84963;RF-TOPLINE/07/BK/BK/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;ja;nein;nein;nein;nein;nein
85057;RF-TOPLINE/11/AL/BK/L;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;nein;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
85058;RF-TOPLINE/11/AL/BK/L;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
85124;RF-LITE/06/BK/BK;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
85126;SET RF-LITE/06/BK/BK/M2/S/IP20;bedding;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
89476;RF-TOPLINE/11/AL/BK;bedding;ja;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;ja;ja;ja;ja;ja;ja;nein;nein;ja;nein;ja;nein;nein;nein;nein;nein
Table-test;Testing device for tables;office;ja;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
no-device;addition for fallback;NaN;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
99999;RF-ECO+/06/AL/BK/L;seating;nein;nein;ja;ja;ja;ja;nein;nein;nein;nein;ja;ja;ja;ja;nein;nein;ja;nein;nein;nein;nein;nein;nein;nein;nein;nein;nein
